sesion_id,reserva_id,artista_id,fecha_agendada,fecha_realizada,duracion_horas,estado_sesion,estilo_tatuaje,zona_cuerpo,tamano
SES-0668,BOOK-0668,ART-006,2026-06-13,,5.5,reprogramada,blackwork,antebrazo,grande
SES-0669,BOOK-0669,ART-002,2026-05-26,,1,reprogramada,tradicional,pierna,pequeno
SES-0670,BOOK-0670,ART-001,2026-05-27,,0.75,no asistio,minimalista,espalda,pequeno
SES-0672,BOOK-0672,ART-003,2026-06-02,,1.25,reprogramada,fine line,antebrazo,pequeno
SES-0677,BOOK-0677,ART-002,2026-06-23,2026-06-23,1.25,realizada,blackwork,costillas,pequeno
SES-0679,BOOK-0679,ART-004,2026-05-20,,4.5,no asistio,lettering,hombro,grande
SES-0683,BOOK-0683,ART-002,2026-06-05,2026-06-05,1,realizada,tradicional color,costillas,pequeno
SES-0691,BOOK-0691,ART-006,2026-05-19,2026-05-19,0.75,realizada,blackwork,muneca,pequeno
SES-0693,BOOK-0693,ART-001,2026-06-25,,3,no asistio,lettering,muneca,mediano
SES-0695,BOOK-0695,ART-001,2026-06-18,2026-06-18,1,realizada,minimalista,hombro,pequeno
SES-0696,BOOK-0696,ART-002,2026-06-25,,3,reprogramada,geometrico color,cuello,mediano
SES-0697,BOOK-0697,ART-006,2026-05-28,2026-05-28,0.75,realizada,geometrico,cuello,pequeno
SES-0698,BOOK-0698,ART-002,2026-06-26,2026-06-26,4.5,realizada,geometrico,pecho,grande
SES-0699,BOOK-0699,ART-005,2026-05-23,2026-05-23,1.25,realizada,minimalista,brazo,pequeno
SES-0700,BOOK-0700,ART-002,2026-06-25,2026-06-25,3.5,realizada,geometrico color,brazo,grande
SES-0704,BOOK-0704,ART-002,2026-06-27,2026-06-27,4.5,realizada,geometrico,hombro,grande
SES-0708,BOOK-0708,ART-002,2026-06-05,2026-06-05,1.75,realizada,blackwork,brazo,mediano
SES-0712,BOOK-0712,ART-005,2026-06-13,2026-06-13,4.5,realizada,minimalista color,brazo,grande
SES-0713,BOOK-0713,ART-006,2026-06-18,2026-06-18,4.5,realizada,geometrico,hombro,grande
SES-0715,BOOK-0715,ART-005,2026-06-09,2026-06-09,1.25,realizada,geometrico,pierna,pequeno
SES-0716,BOOK-0716,ART-002,2026-06-11,2026-06-11,1.25,realizada,tradicional,tobillo,pequeno
SES-0717,BOOK-0717,ART-002,2026-06-04,2026-06-04,1.25,realizada,tradicional color,brazo,pequeno
SES-0722,BOOK-0722,ART-006,2026-06-12,,1,reprogramada,tradicional color,cuello,pequeno
SES-0724,BOOK-0724,ART-004,2026-06-26,2026-06-26,1.25,realizada,tradicional color,brazo,pequeno
SES-0728,BOOK-0728,ART-005,2026-06-17,2026-06-17,5.5,realizada,fine line color,pierna,grande
SES-0730,BOOK-0730,ART-006,2026-05-28,,1,reprogramada,blackwork color,espalda,pequeno
SES-0732,BOOK-0732,ART-001,2026-05-28,2026-05-28,1.25,realizada,lettering,muneca,pequeno
SES-0735,BOOK-0735,ART-001,2026-06-26,2026-06-26,4.5,realizada,minimalista color,costillas,grande
SES-0737,BOOK-0737,ART-001,2026-06-27,2026-06-27,3.5,realizada,minimalista color,pecho,grande
SES-0739,BOOK-0739,ART-006,2026-05-16,2026-05-16,4.5,realizada,blackwork,tobillo,grande
SES-0740,BOOK-0740,ART-003,2026-06-17,2026-06-17,3,realizada,fine line color,antebrazo,mediano
SES-0741,BOOK-0741,ART-002,2026-06-30,,5,no asistio,geometrico,espalda,sesion larga
SES-0746,BOOK-0746,ART-006,2026-06-19,2026-06-19,5.5,realizada,tradicional color,antebrazo,grande
SES-0749,BOOK-0749,ART-006,2026-06-10,2026-06-10,1.75,realizada,tradicional,pierna,mediano
SES-0751,BOOK-0751,ART-004,2026-05-30,2026-05-30,1.75,realizada,blackwork color,costillas,mediano
SES-0752,BOOK-0752,ART-003,2026-06-04,2026-06-04,4.5,realizada,minimalista,pecho,grande
SES-0758,BOOK-0758,ART-003,2026-06-05,2026-06-05,1,realizada,fine line,espalda,pequeno
SES-0760,BOOK-0760,ART-001,2026-06-10,2026-06-10,1,realizada,fine line,mano/dedos,pequeno
SES-0764,BOOK-0764,ART-002,2026-05-23,2026-05-23,1.75,realizada,geometrico,costillas,mediano
SES-0765,BOOK-0765,ART-002,2026-05-27,2026-05-27,0.75,realizada,geometrico,cuello,pequeno
SES-0767,BOOK-0767,ART-005,2026-05-28,2026-05-28,1,realizada,geometrico,pecho,pequeno
SES-0768,BOOK-0768,ART-006,2026-06-24,2026-06-24,1.75,realizada,blackwork color,muneca,mediano
SES-0777,BOOK-0777,ART-003,2026-05-23,2026-05-23,5.5,realizada,fine line color,mano/dedos,grande
SES-0780,BOOK-0780,ART-004,2026-05-29,2026-05-29,1,realizada,tradicional,espalda,pequeno
SES-0782,BOOK-0782,ART-002,2026-07-01,2026-07-01,5.5,realizada,tradicional color,muneca,grande
SES-0783,BOOK-0783,ART-005,2026-06-03,2026-06-03,1.75,realizada,geometrico,muneca,mediano
SES-0784,BOOK-0784,ART-006,2026-05-26,,2.25,no asistio,tradicional color,costillas,mediano
SES-0785,BOOK-0785,ART-003,2026-06-12,2026-06-12,3,realizada,fine line,brazo,mediano
SES-0786,BOOK-0786,ART-002,2026-06-06,2026-06-06,1,realizada,blackwork,espalda,pequeno
SES-0789,BOOK-0789,ART-004,2026-06-27,2026-06-27,6,realizada,blackwork color,cuello,sesion larga
SES-0790,BOOK-0790,ART-006,2026-06-10,,1,reprogramada,blackwork,tobillo,pequeno
SES-0795,BOOK-0795,ART-006,2026-06-11,2026-06-11,3,realizada,geometrico,antebrazo,mediano
SES-0797,BOOK-0797,ART-004,2026-06-16,,1.25,reprogramada,tradicional,mano/dedos,pequeno
SES-0798,BOOK-0798,ART-005,2026-06-19,,3,reprogramada,geometrico,muneca,mediano
SES-0803,BOOK-0803,ART-002,2026-05-23,2026-05-23,2.25,realizada,blackwork,pierna,mediano
SES-0807,BOOK-0807,ART-003,2026-05-28,2026-05-28,0.75,realizada,minimalista,pecho,pequeno
SES-0808,BOOK-0808,ART-002,2026-06-13,2026-06-13,1.25,realizada,blackwork,brazo,pequeno
SES-0811,BOOK-0811,ART-004,2026-05-30,2026-05-30,1,realizada,tradicional,mano/dedos,pequeno
SES-0816,BOOK-0816,ART-003,2026-06-05,2026-06-05,0.75,realizada,fine line,muneca,pequeno
SES-0817,BOOK-0817,ART-004,2026-05-29,2026-05-29,2.25,realizada,lettering color,costillas,mediano
SES-0820,BOOK-0820,ART-001,2026-06-12,2026-06-12,1,realizada,minimalista,cuello,pequeno
SES-0824,BOOK-0824,ART-001,2026-06-24,2026-06-24,1,realizada,fine line,tobillo,pequeno
SES-0826,BOOK-0826,ART-003,2026-06-18,2026-06-18,2.25,realizada,geometrico,mano/dedos,mediano
SES-0827,BOOK-0827,ART-005,2026-06-05,2026-06-05,0.75,realizada,minimalista,hombro,pequeno
SES-0832,BOOK-0832,ART-003,2026-06-18,,0.75,reprogramada,geometrico,pierna,pequeno
SES-0836,BOOK-0836,ART-004,2026-06-13,2026-06-13,1,realizada,tradicional color,brazo,pequeno
SES-0837,BOOK-0837,ART-006,2026-05-16,2026-05-16,0.75,realizada,blackwork,brazo,pequeno
SES-0846,BOOK-0846,ART-006,2026-06-11,2026-06-11,1.75,realizada,blackwork color,hombro,mediano
SES-0847,BOOK-0847,ART-005,2026-05-20,2026-05-20,1,realizada,geometrico color,hombro,pequeno
SES-0851,BOOK-0851,ART-004,2026-05-26,2026-05-26,2.25,realizada,blackwork color,espalda,mediano
SES-0853,BOOK-0853,ART-004,2026-06-04,2026-06-04,5.5,realizada,tradicional color,pecho,grande
SES-0854,BOOK-0854,ART-005,2026-06-20,2026-06-20,3,realizada,fine line color,costillas,mediano
SES-0856,BOOK-0856,ART-006,2026-05-29,2026-05-29,3,realizada,geometrico color,hombro,mediano
SES-0858,BOOK-0858,ART-004,2026-05-19,2026-05-19,1,realizada,blackwork,hombro,pequeno
SES-0860,BOOK-0860,ART-002,2026-06-20,2026-06-20,2.25,realizada,tradicional,antebrazo,mediano
SES-0869,BOOK-0869,ART-005,2026-06-03,2026-06-03,3,realizada,fine line color,brazo,mediano
SES-0870,BOOK-0870,ART-001,2026-05-30,2026-05-30,1.75,realizada,lettering,brazo,mediano
SES-0872,BOOK-0872,ART-004,2026-05-27,2026-05-27,0.75,realizada,tradicional color,costillas,pequeno
SES-0873,BOOK-0873,ART-005,2026-06-23,2026-06-23,5.5,realizada,minimalista,antebrazo,grande
SES-0874,BOOK-0874,ART-002,2026-06-11,,0.75,reprogramada,tradicional,costillas,pequeno
SES-0875,BOOK-0875,ART-002,2026-07-02,2026-07-02,5.5,realizada,geometrico,brazo,grande
SES-0881,BOOK-0881,ART-004,2026-05-29,2026-05-29,1.75,realizada,lettering,pecho,mediano
SES-0882,BOOK-0882,ART-001,2026-06-30,2026-06-30,3.5,realizada,lettering,espalda,grande
SES-0886,BOOK-0886,ART-004,2026-06-30,2026-06-30,5.5,realizada,blackwork,pecho,grande
SES-0889,BOOK-0889,ART-006,2026-06-12,2026-06-12,1.75,realizada,blackwork,pecho,mediano
SES-0891,BOOK-0891,ART-006,2026-06-25,2026-06-25,5.5,realizada,tradicional,muneca,grande
SES-0892,BOOK-0892,ART-006,2026-06-12,2026-06-12,0.75,realizada,tradicional color,pecho,pequeno
SES-0895,BOOK-0895,ART-003,2026-06-02,2026-06-02,0.75,realizada,geometrico,muneca,pequeno
SES-0897,BOOK-0897,ART-001,2026-06-19,2026-06-19,1,realizada,minimalista color,muneca,pequeno
SES-0901,BOOK-0901,ART-004,2026-06-03,2026-06-03,3.5,realizada,tradicional color,tobillo,grande
SES-0904,BOOK-0904,ART-002,2026-06-19,2026-06-19,1.75,realizada,tradicional color,muneca,mediano
SES-0906,BOOK-0906,ART-002,2026-07-03,2026-07-03,5.5,realizada,blackwork color,muneca,grande
SES-0908,BOOK-0908,ART-006,2026-06-26,2026-06-26,6,realizada,geometrico,pierna,sesion larga
SES-0910,BOOK-0910,ART-001,2026-07-01,2026-07-01,3.5,realizada,lettering,cuello,grande
SES-0911,BOOK-0911,ART-006,2026-06-27,2026-06-27,4.5,realizada,geometrico,pierna,grande
SES-0912,BOOK-0912,ART-003,2026-06-10,2026-06-10,0.75,realizada,fine line color,mano/dedos,pequeno
SES-0913,BOOK-0913,ART-005,2026-05-30,2026-05-30,5,realizada,minimalista,antebrazo,sesion larga
SES-0914,BOOK-0914,ART-004,2026-07-01,2026-07-01,5.5,realizada,tradicional color,muneca,grande
SES-0916,BOOK-0916,ART-005,2026-05-21,2026-05-21,2.25,realizada,minimalista,hombro,mediano
SES-0918,BOOK-0918,ART-006,2026-06-30,2026-06-30,5,realizada,geometrico,muneca,sesion larga
SES-0924,BOOK-0924,ART-002,2026-05-19,2026-05-19,1.75,realizada,blackwork,hombro,mediano
SES-0926,BOOK-0926,ART-003,2026-06-10,2026-06-10,1.25,realizada,fine line color,mano/dedos,pequeno
SES-0928,BOOK-0928,ART-003,2026-06-02,2026-06-02,2.25,realizada,minimalista,espalda,mediano
SES-0937,BOOK-0937,ART-004,2026-06-03,,1.25,reprogramada,blackwork,cuello,pequeno
SES-0938,BOOK-0938,ART-001,2026-07-02,2026-07-02,5.5,realizada,lettering,pierna,grande
SES-0941,BOOK-0941,ART-006,2026-07-01,2026-07-01,3,realizada,blackwork,hombro,mediano
SES-0942,BOOK-0942,ART-006,2026-06-04,2026-06-04,1.25,realizada,tradicional,muneca,pequeno
SES-0943,BOOK-0943,ART-001,2026-07-03,,3.5,no asistio,lettering,antebrazo,grande
SES-0944,BOOK-0944,ART-002,2026-05-27,2026-05-27,1,realizada,tradicional color,pecho,pequeno
SES-0947,BOOK-0947,ART-003,2026-07-02,2026-07-02,5,realizada,fine line,pecho,sesion larga
SES-0948,BOOK-0948,ART-004,2026-05-21,2026-05-21,4.5,realizada,blackwork,pecho,grande
SES-0949,BOOK-0949,ART-005,2026-06-09,2026-06-09,1.75,realizada,geometrico,cuello,mediano
SES-0950,BOOK-0950,ART-004,2026-07-02,2026-07-02,4.5,realizada,lettering,antebrazo,grande
SES-0951,BOOK-0951,ART-004,2026-06-09,,0.75,no asistio,lettering,cuello,pequeno
SES-0955,BOOK-0955,ART-003,2026-05-19,2026-05-19,3,realizada,fine line color,espalda,mediano
SES-0957,BOOK-0957,ART-003,2026-05-20,2026-05-20,0.75,realizada,geometrico,espalda,pequeno
SES-0963,BOOK-0963,ART-006,2026-06-16,2026-06-16,1.75,realizada,tradicional,tobillo,mediano
SES-0968,BOOK-0968,ART-003,2026-07-03,2026-07-03,6,realizada,geometrico color,costillas,sesion larga
SES-0969,BOOK-0969,ART-002,2026-05-28,2026-05-28,1.25,realizada,geometrico,pecho,pequeno
SES-0970,BOOK-0970,ART-002,2026-06-17,2026-06-17,1,realizada,blackwork,antebrazo,pequeno
SES-0975,BOOK-0975,ART-004,2026-07-03,2026-07-03,3,realizada,blackwork,espalda,mediano
SES-0976,BOOK-0976,ART-004,2026-06-02,2026-06-02,1.25,realizada,lettering,hombro,pequeno
SES-0977,BOOK-0977,ART-005,2026-06-24,2026-06-24,2.25,realizada,minimalista,cuello,mediano
SES-0978,BOOK-0978,ART-004,2026-06-17,2026-06-17,1.25,realizada,blackwork,hombro,pequeno
SES-0982,BOOK-0982,ART-001,2026-05-30,2026-05-30,1,realizada,lettering,brazo,pequeno
SES-0984,BOOK-0984,ART-005,2026-06-16,,1.25,reprogramada,minimalista,tobillo,pequeno
SES-0987,BOOK-0987,ART-004,2026-07-03,2026-07-03,3.5,realizada,lettering color,hombro,grande
SES-0990,BOOK-0990,ART-004,2026-07-04,,5,reprogramada,tradicional color,pecho,sesion larga
SES-0992,BOOK-0992,ART-004,2026-06-26,2026-06-26,1.75,realizada,tradicional color,pecho,mediano
SES-0993,BOOK-0993,ART-004,2026-07-07,2026-07-07,4.5,realizada,tradicional color,espalda,grande
SES-0996,BOOK-0996,ART-006,2026-07-01,2026-07-01,3,realizada,geometrico,pierna,mediano
SES-0999,BOOK-0999,ART-003,2026-06-12,,1.25,reprogramada,geometrico color,muneca,pequeno
