feedback_id,reserva_id,cliente_id,rating,recomendaria,hubo_reclamo,comentario
FBK-0950,BOOK-0950,CLI-0901,4.3,no,no,"Buena experiencia, con puntos por mejorar"
FBK-0955,BOOK-0955,CLI-0906,5,si,no,Muy buena experiencia
FBK-0957,BOOK-0957,CLI-0908,4.7,si,no,Muy buena experiencia
FBK-0963,BOOK-0963,CLI-0914,3.9,no,no,"Buena experiencia, con puntos por mejorar"
FBK-0968,BOOK-0968,CLI-0919,4.5,no,no,Muy buena experiencia
FBK-0969,BOOK-0969,CLI-0920,4.3,no,no,"Buena experiencia, con puntos por mejorar"
FBK-0970,BOOK-0970,CLI-0921,4.6,si,no,Muy buena experiencia
FBK-0975,BOOK-0975,CLI-0924,4.8,si,no,Muy buena experiencia
FBK-0976,BOOK-0976,CLI-0925,4,no,no,"Buena experiencia, con puntos por mejorar"
FBK-0977,BOOK-0977,CLI-0926,4,no,no,"Buena experiencia, con puntos por mejorar"
FBK-0978,BOOK-0978,CLI-0927,5,si,no,Muy buena experiencia
FBK-0982,BOOK-0982,CLI-0930,4.1,no,no,"Buena experiencia, con puntos por mejorar"
FBK-0987,BOOK-0987,CLI-0297,4.7,si,no,Muy buena experiencia
FBK-0992,BOOK-0992,CLI-0938,4.2,no,no,"Buena experiencia, con puntos por mejorar"
FBK-0993,BOOK-0993,CLI-0939,4.4,no,no,"Buena experiencia, con puntos por mejorar"
FBK-0996,BOOK-0996,CLI-0942,4.8,si,no,Muy buena experiencia
